derivation,case_id,metric,ruby_value,julia_value,absolute_difference,comparison_mode,status,result_class
bernoulli_temporal,n=10;rho=1/10,p_kappa,1.0e-10,1.0e-10,0.0,exact,match,model consequence
bernoulli_temporal,n=10;rho=1/10,expected_held_count,1.0,1.0,0.0,exact,match,model consequence
bernoulli_temporal,n=10;rho=1/4,p_alpha,0.0563135147095,0.056313514709472656,2.7346180875298387e-14,exact,match,model consequence
bernoulli_temporal,n=10;rho=1/4,p_polymorphy,0.943685531616,0.9436855316162109,2.1094237467877974e-13,exact,match,model consequence
bernoulli_temporal,n=10;rho=1/4,p_kappa,9.53674316406e-7,9.5367431640625e-7,2.499805985584254e-19,exact,match,model consequence
bernoulli_temporal,n=10;rho=1/4,expected_held_count,2.5,2.5,0.0,exact,match,model consequence
bernoulli_temporal,n=10;rho=1/2,p_alpha,0.0009765625,0.0009765625,0.0,exact,match,model consequence
bernoulli_temporal,n=10;rho=1/2,p_polymorphy,0.998046875,0.998046875,0.0,exact,match,model consequence
bernoulli_temporal,n=10;rho=1/2,p_kappa,0.0009765625,0.0009765625,0.0,exact,match,model consequence
bernoulli_temporal,n=10;rho=1/2,expected_held_count,5.0,5.0,0.0,exact,match,model consequence
bernoulli_temporal,n=10;rho=3/4,p_alpha,9.53674316406e-7,9.5367431640625e-7,2.499805985584254e-19,exact,match,model consequence
bernoulli_temporal,n=10;rho=3/4,p_polymorphy,0.943685531616,0.9436855316162109,2.1094237467877974e-13,exact,match,model consequence
bernoulli_temporal,n=10;rho=3/4,p_kappa,0.0563135147095,0.056313514709472656,2.7346180875298387e-14,exact,match,model consequence
bernoulli_temporal,n=10;rho=3/4,expected_held_count,7.5,7.5,0.0,exact,match,model consequence
bernoulli_temporal,n=10;rho=9/10,p_alpha,1.0e-10,1.0e-10,0.0,exact,match,model consequence
bernoulli_temporal,n=10;rho=9/10,p_polymorphy,0.6513215598,0.6513215598,0.0,exact,match,model consequence
bernoulli_temporal,n=10;rho=9/10,p_kappa,0.3486784401,0.3486784401,0.0,exact,match,model consequence
bernoulli_temporal,n=10;rho=9/10,expected_held_count,9.0,9.0,0.0,exact,match,model consequence
bernoulli_temporal,rho=1/4|1/2|3/4,p_alpha,0.09375,0.09375,0.0,exact,match,model consequence
bernoulli_temporal,rho=1/4|1/2|3/4,p_polymorphy,0.8125,0.8125,0.0,exact,match,model consequence
bernoulli_temporal,rho=1/4|1/2|3/4,p_kappa,0.09375,0.09375,0.0,exact,match,model consequence
bernoulli_temporal,rho=1/4|1/2|3/4,expected_held_count,1.5,1.5,0.0,exact,match,model consequence
one_bit_first_passage,n=2;q=1,expected_steps,1.0,1.0,0.0,exact,match,theorem
one_bit_first_passage,n=3;q=1,expected_steps,3.0,3.0,0.0,exact,match,theorem
one_bit_first_passage,n=3;q=2,expected_steps,3.0,3.0,0.0,exact,match,theorem
one_bit_first_passage,n=4;q=1,expected_steps,7.0,7.0,0.0,exact,match,theorem
one_bit_first_passage,n=4;q=2,expected_steps,8.0,8.0,0.0,exact,match,theorem
one_bit_first_passage,n=4;q=3,expected_steps,7.0,7.0,0.0,exact,match,theorem
one_bit_first_passage,n=5;q=1,expected_steps,15.0,15.0,0.0,exact,match,theorem
one_bit_first_passage,n=5;q=2,expected_steps,17.5,17.5,0.0,exact,match,theorem
one_bit_first_passage,n=5;q=3,expected_steps,17.5,17.5,0.0,exact,match,theorem
one_bit_first_passage,n=5;q=4,expected_steps,15.0,15.0,0.0,exact,match,theorem
one_bit_first_passage,n=6;q=1,expected_steps,31.0,31.0,0.0,exact,match,theorem
one_bit_first_passage,n=6;q=2,expected_steps,36.0,36.0,0.0,exact,match,theorem
one_bit_first_passage,n=6;q=3,expected_steps,37.0,37.0,0.0,exact,match,theorem
one_bit_first_passage,n=6;q=4,expected_steps,36.0,36.0,0.0,exact,match,theorem
one_bit_first_passage,n=6;q=5,expected_steps,31.0,31.0,0.0,exact,match,theorem
one_bit_first_passage,n=7;q=1,expected_steps,63.0,63.0,0.0,exact,match,theorem
one_bit_first_passage,n=7;q=2,expected_steps,72.3333333333,72.33333333333333,3.33244543071487e-11,exact,match,theorem
one_bit_first_passage,n=7;q=3,expected_steps,74.6666666667,74.66666666666667,3.33244543071487e-11,exact,match,theorem
one_bit_first_passage,n=7;q=4,expected_steps,74.6666666667,74.66666666666667,3.33244543071487e-11,exact,match,theorem
